Datacube Filename,Object,RA,DEC,DATE OBS,DP.ID,EXPTIME [s],INS MODE,DIMM Seeing-avg,Airmass,Wavelength,R (&lambda;/&delta;&lambda;)
ADP.2016-06-14T11:41:44.790.fits,Antennae South01,180.359921,-19.01311,2015-04-25 23:42:37,MUSE.2015-04-25T23:42:37.416,1350.0,WFM-NOAO-E,1.11 [0.11],1.28,459.980..934.980,2988.85546875
ADP.2016-06-14T18:12:18.664.fits,QSO B0515-4414,79.281792,-44.18208,2015-03-29 00:42:15,MUSE.2015-03-29T00:42:15.646,420.735,WFM-NOAO-N,1.52 [0.06],1.36,474.983..934.983,3026.63256835938
ADP.2016-06-21T07:32:38.505.fits,UDF-10,53.161722,-27.77892,2014-11-18 05:46:17,MUSE.2014-11-18T05:46:17.267,1500.0,WFM-NOAO-N,0.65 [0.06],1.05,474.991..934.991,3026.67065429688
ADP.2016-08-17T08:39:02.787.fits,67P,177.465229,11.98013,2016-03-07 06:09:54,MUSE.2016-03-07T06:09:54.387,600.0,WFM-NOAO-N,0.72 [0.05],1.26,475.005..935.005,3026.74243164062
ADP.2016-10-09T19:03:51.758.fits,TNJ2009-304,302.455269,-30.66456,2016-06-01 07:29:34,MUSE.2016-06-01T07:29:34.641,984.503,WFM-NOAO-N,1.37 [0.13],1.02,475.033..935.158,3027.19799804688
ADP.2016-11-11T12:54:05.990.fits,RXJ2129,322.411982,0.08686,2016-09-03 02:24:22,MUSE.2016-09-03T02:24:22.458,1175.558,WFM-NOAO-N,0.65 [0.05],1.14,474.986..934.986,3026.64697265625
ADP.2018-03-08T19:46:26.983.fits,P20769,171.823072,0.18981,2018-02-21 06:30:48,MUSE.2018-02-21T06:30:48.557,675.0,WFM-NOAO-N,0.54 [0.06],1.11,475.016..935.016,3026.79931640625
ADP.2018-03-14T13:08:22.142.fits,SDSS J124754,191.979099,-3.62449,2018-03-10 07:29:14,MUSE.2018-03-10T07:29:14.732,900.0,WFM-NOAO-E,0.51 [0.07],1.12,460.018..935.018,2989.04760742188
ADP.2019-06-18T16:48:16.133.fits,ICRF J134733.3+121724,206.889142,12.29006,2019-05-12 02:50:07,MUSE.2019-05-12T02:50:07.452,612.0,WFM-AO-N,0.87 [0.07],1.25,469.978..934.978,3014.01904296875
ADP.2020-12-23T11:08:13.167.fits,Arp165,114.185532,17.88403,2020-11-10 07:54:21,MUSE.2020-11-10T07:54:21.719,200.0,WFM-NOAO-N,0.43 [0.03],1.42,475.042..935.167,3027.24340820312
ADP.2021-01-23T09:52:41.198.fits,objID 1237645878488596635,14.740198,0.39651,2020-12-13 01:27:09,MUSE.2020-12-13T01:27:09.302,2103.0,WFM-AO-N,0.50 [0.05],1.17,469.956..934.956,3013.90747070312
ADP.2021-01-29T09:50:19.636.fits,HE1104,166.64475,-18.35686,2020-12-19 08:17:27,MUSE.2020-12-19T08:17:27.971,600.0,WFM-AO-N,0.79 [0.13],1.09,470.043..935.168,3014.662109375
ADP.2022-07-14T15:54:47.933.fits,SCG0035A_field1,9.392237,-33.73537,2022-06-28 10:00:42,MUSE.2022-06-28T10:00:42.468,300.0,WFM-NOAO-E,1.84 [0.13],1.03,460.036..935.161,2989.44970703125
ADP.2022-11-29T10:10:50.219.fits,ESO079-003,7.978032,-64.24488,2022-11-17 04:05:19,MUSE.2022-11-17T04:05:19.446,564.0,WFM-NOAO-N,0.70 [0.07],1.46,474.975..934.975,3026.58935546875
ADP.2023-09-19T13:20:16.225.fits,UGC 1382,28.728692,-0.14872,2023-08-22 07:34:54,MUSE.2023-08-22T07:34:54.475,120.0,WFM-AO-N,0.86 [0.13],1.14,470.038..935.163,3014.63256835938
S.MUSE.2016-04-06T11:15:14.393.fits,COSMOSdeep3,150.095277,2.58194,2014-12-29 07:28:47,MUSE.2014-12-29T07:28:47.028,666.0,WFM-NOAO-N,1.58 [0.29],1.14,475.037..935.162,3027.22045898438
S.MUSE.2016-04-06T15:58:58.993.fits,CTS_B27.07,71.388205,-40.81191,2014-12-26 03:59:43,MUSE.2014-12-26T03:59:43.632,900.0,WFM-NOAO-N,0.50 [0.04],1.06,474.986..934.986,3026.6494140625
S.MUSE.2016-04-07T12:13:31.643.fits,SSA22 LAB1,334.358754,0.21059,2014-11-13 00:33:06,MUSE.2014-11-13T00:33:06.787,1497.5,WFM-NOAO-E,0.72 [0.09],1.14,459.955..934.955,2988.73291015625
S.MUSE.2016-04-07T15:02:14.253.fits,UDF-10,53.161132,-27.7788,2014-11-23 04:33:47,MUSE.2014-11-23T04:33:47.858,1500.0,WFM-NOAO-N,0.64 [0.05],1.01,474.988..934.988,3026.65625
S.MUSE.2016-04-08T08:27:29.840.fits,COSMOSdeep3,150.095126,2.58203,2015-01-18 07:31:20,MUSE.2015-01-18T07:31:20.846,666.0,WFM-NOAO-N,0.95 [0.07],1.14,475.026..935.151,3027.16137695312
S.MUSE.2016-04-17T08:04:40.733.fits,SDSSJ1034+0358,158.735224,3.98306,2015-02-19 04:03:20,MUSE.2015-02-19T04:03:20.841,900.0,WFM-NOAO-N,2.23 [0.12],1.21,475.007..935.132,3027.06762695312
S.MUSE.2016-04-22T13:05:55.193.fits,BRI1108-07,167.806853,-8.06701,2015-04-20 02:51:21,MUSE.2015-04-20T02:51:21.373,900.0,WFM-NOAO-N,1.41 [0.19],1.06,474.972..934.972,3026.57592773438
S.MUSE.2016-04-26T16:01:15.203.fits,candels-cosmos-01,150.090633,2.20109,2015-04-21 00:21:00,MUSE.2015-04-21T00:21:00.325,900.0,WFM-NOAO-N,,1.13,474.960..934.960,3026.51538085938
S.MUSE.2016-05-17T14:34:25.766.fits,IRAS_20100-4156,303.372917,-41.79306,2015-05-14 06:43:43,MUSE.2015-05-14T06:43:43.015,800.0,WFM-NOAO-N,0.83 [0.12],1.27,475.038..935.163,3027.224609375
S.MUSE.2016-05-18T12:01:29.403.fits,Q1317-0507,200.124331,-5.39259,2015-05-18 23:32:16,MUSE.2015-05-18T23:32:16.129,900.0,WFM-NOAO-N,1.25 [0.14],1.39,474.971..934.971,3026.57397460938
S.MUSE.2016-06-14T13:44:38.243.fits,LAB1,334.361409,0.20969,2015-06-12 09:48:52,MUSE.2015-06-12T09:48:52.580,1500.0,WFM-NOAO-N,,1.1,475.043..935.168,3027.25170898438
S.MUSE.2016-06-15T13:35:57.970.fits,UM287_Slug,13.011361,1.02406,2014-10-26 02:20:05,MUSE.2014-10-26T02:20:05.376,900.0,WFM-NOAO-N,1.01 [0.12],1.15,474.982..934.982,3026.6279296875
S.MUSE.2016-06-21T17:30:41.233.fits,Q0422-035-036,65.458197,-38.89458,2014-10-25 08:37:51,MUSE.2014-10-25T08:37:51.155,900.0,WFM-NOAO-N,1.12 [0.09],1.12,475.007..935.132,3027.06860351562
S.MUSE.2016-06-29T08:25:25.796.fits,SN2006ob,27.951772,0.2636,2015-07-13 08:50:55,MUSE.2015-07-13T08:50:55.668,555.0,WFM-NOAO-N,0.82 [0.08],1.35,475.044..935.169,3027.25610351562
S.MUSE.2016-07-01T20:52:56.573.fits,PGC065588,312.987541,-52.63015,2014-09-26 00:10:18,MUSE.2014-09-26T00:10:18.959,630.0,WFM-NOAO-N,0.86 [0.15],1.16,474.964..934.964,3026.53686523438
S.MUSE.2016-08-01T16:06:05.486.fits,8082-12703,49.5115,-0.53909,2016-01-27 02:24:42,MUSE.2016-01-27T02:24:42.973,425.0,WFM-NOAO-N,1.24 [0.14],1.47,474.955..934.955,3026.49047851562
S.MUSE.2016-08-05T10:31:25.200.fits,HE0238-1904,40.135557,-18.86507,2016-02-02 01:18:25,MUSE.2016-02-02T01:18:25.766,900.0,WFM-NOAO-N,0.81 [0.06],1.27,474.960..934.960,3026.5166015625
S.MUSE.2016-08-12T07:37:02.606.fits,GRB991216,77.379567,11.28533,2016-02-29 01:01:08,MUSE.2016-02-29T01:01:08.757,1200.0,WFM-NOAO-N,1.63 [0.20],1.38,474.953..934.953,3026.48266601562
S.MUSE.2016-08-28T15:46:13.973.fits,J1619,244.915912,25.72033,2016-04-01 07:47:27,MUSE.2016-04-01T07:47:27.544,1057.5,WFM-NOAO-N,1.39 [0.12],1.59,475.022..935.022,3026.83081054688
S.MUSE.2016-09-02T00:54:16.506.fits,SDSSJ0103p1332,15.883036,13.54401,2015-11-12 01:09:26,MUSE.2015-11-12T01:09:26.706,900.0,WFM-NOAO-N,1.61 [0.40],1.35,474.975..934.975,3026.59350585938
S.MUSE.2016-09-20T15:06:33.326.fits,Q1435-0134,219.451027,-1.78511,2016-04-10 07:44:20,MUSE.2016-04-10T07:44:20.647,900.0,WFM-NOAO-N,0.66 [0.14],1.19,475.013..935.013,3026.78588867188
S.MUSE.2016-09-27T09:54:40.026.fits,candels-cosmos-15,150.090911,2.2321,2016-05-06 23:28:21,MUSE.2016-05-06T23:28:21.772,900.0,WFM-NOAO-N,,1.12,474.955..934.955,3026.48950195312
S.MUSE.2016-10-07T12:19:03.896.fits,A370,39.970193,-1.56941,2016-08-02 09:07:37,MUSE.2016-08-02T09:07:37.701,962.0,WFM-NOAO-N,0.33 [0.01],1.17,475.043..935.168,3027.25170898438
